STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
904,1626183,0,0,6,0,29,2,5,0.4,0,0,0,1,1,1,2,2,4,0,0,1,0,2,5
905,201286,0,0,4,0,39,7,12,0.583333,0,0,0,1,2,0.5,5,5,10,0,1,2,3,6,15
906,76542,0,0,6,0,30,7,15,0.466666,2,4,0.5,1,1,1,2,3,5,1,0,0,3,4,17
907,103,0,0,483,197,12213,2036,5017,0.40582,568,1646,0.345078,1277,1727,0.739432,578,1071,1649,713,532,291,717,1348,5917
908,201948,0,0,293,29,4132,567,1410,0.402127,188,535,0.351401,200,257,0.77821,143,621,764,212,116,117,204,480,1522
909,76543,0,0,328,22,5208,849,1730,0.490751,2,17,0.117647,525,771,0.680933,321,523,844,672,191,53,429,607,2225
910,201986,0,0,119,9,1415,169,394,0.428934,49,135,0.362962,66,79,0.835443,37,174,211,203,63,12,116,135,453
911,76545,0,0,875,0,31202,5722,13249,0.431881,0,0,0,2609,3730,0.699463,134,623,9618,2497,67,39,0,2801,14053
912,692,0,0,587,253,9838,1118,2207,0.50657,0,2,0,579,932,0.621244,1025,1463,2488,339,390,301,550,1789,2815
913,76551,0,0,17,0,132,20,42,0.47619,0,0,0,24,35,0.685714,0,31,31,14,0,0,0,47,64
914,201942,0,0,721,709,24618,5100,11356,0.449101,332,1168,0.284246,3763,4549,0.827214,549,2471,3020,2374,703,207,1443,1604,14295
915,76562,0,0,5,0,0,6,25,0.24,0,0,0,5,7,0.714285,0,18,18,9,0,0,0,6,17
916,76544,0,0,7,0,48,2,11,0.181818,1,1,1,5,7,0.714285,2,4,6,6,0,0,3,3,10
917,203473,0,0,320,147,5650,765,1428,0.535714,86,242,0.355371,290,405,0.716049,505,1387,1892,208,157,264,297,771,1906
918,76546,0,0,190,0,3092,575,1429,0.402379,0,0,0,398,501,0.794411,0,907,907,132,0,0,0,385,1548
919,143,0,0,402,65,7303,1082,2632,0.411094,328,867,0.378316,743,954,0.778825,144,444,588,1034,213,36,617,830,3235
920,76548,0,0,10,0,0,6,15,0.4,0,0,0,2,6,0.333333,0,0,0,0,0,0,0,8,14
921,1626214,0,0,14,11,279,28,69,0.405797,12,32,0.375,11,21,0.523809,8,40,48,15,10,2,11,17,79
922,1626155,0,0,180,8,2768,412,845,0.487573,80,277,0.288808,90,148,0.608108,169,381,550,139,92,34,88,183,994
923,219,0,0,771,370,19203,2863,6031,0.474713,243,677,0.358936,1069,1273,0.839748,284,1526,1810,2484,576,65,820,1466,7038
924,1627098,0,0,127,5,2262,254,673,0.377414,72,234,0.307692,149,185,0.805405,19,204,223,356,74,7,161,194,729
925,183,0,0,413,204,10004,1847,3499,0.527865,2,14,0.142857,840,1215,0.691358,853,1711,2564,440,320,355,822,1297,4536
926,2568,0,0,507,170,11582,1472,3669,0.401199,678,1856,0.365301,493,650,0.758461,287,1528,1815,887,461,88,509,827,4115
